longitude,latitude,value,LandCover
122.87048,-18.03188,65.87593,10
122.93756,-17.94843,65.372574,6
122.93903,-17.9368,69.41858,6
123.59851,-17.45199,68.77829,10
124.68255,-16.73979,59.546436,10
124.58344,-16.67572,61.2267,10
124.66869,-16.67192,67.124466,10
124.64778,-16.66962,64.51352,10
123.68988,-16.5745,63.548107,10
123.67245,-16.57248,62.27749,10
125.19097,-16.54664,65.005325,10
125.42107,-16.46645,70.739075,10
125.58579,-16.28202,62.014618,10
126.36552,-16.27688,61.194607,10
126.37122,-16.27688,62.664417,10
126.34259,-16.2738,57.941994,10
125.58022,-16.27312,62.51227,10
125.58799,-16.26811,59.78047,10
125.56311,-16.26538,62.642284,10
125.55757,-16.25667,60.30856,10
125.29433,-16.10316,59.89556,10
125.29581,-16.08953,60.75782,10
125.23169,-16.04148,60.193947,10
124.99415,-15.629,59.10311,10
124.99741,-15.60259,62.313877,10
125.75423,-15.59326,64.3426,10
125.00408,-15.59235,62.527927,10
125.72922,-15.5906,67.32818,10
124.99872,-15.58935,59.608017,10
125.76159,-15.58858,64.10656,10
125.70451,-15.58796,67.53945,10
125.73659,-15.58574,71.438324,10
125.71188,-15.58294,69.9071,10
125.80806,-15.57047,64.56649,10
125.81587,-15.5662,64.543884,10
125.67703,-15.17959,58.687695,10
117.20811,-32.80917,59.09162,12
117.01546,-32.41061,42.528233,12
117.01704,-32.401,53.576828,12
141.37953,-37.85214,58.95498,2
141.38785,-37.85148,59.57693,8
143.35605,-37.28694,69.52848,10
143.36241,-37.28371,69.38117,2
143.35211,-37.27567,69.97304,2
141.05592,-37.23905,55.850403,9
138.90538,-34.76708,60.34703,10
136.18327,-32.8811,49.55255,10
138.8073,-18.01124,65.184715,10
138.82864,-18.00729,67.02327,10
124.03157,-17.82439,69.73747,6
123.99866,-17.82174,64.12167,10
124.0239,-17.81888,69.66564,6
124.04906,-17.81603,69.26561,6
124.00465,-17.81305,64.0617,10
123.61556,-17.45766,69.13043,10
136.71211,-16.98717,70.50307,10
124.63857,-16.74386,58.401794,10
123.82393,-16.73612,60.931126,10
124.63219,-16.73387,62.663116,10
124.49825,-16.7227,60.111275,10
137.05769,-16.72018,60.563854,10
124.64899,-16.69202,60.950825,10
124.59544,-16.67318,62.324123,10
124.60204,-16.67074,62.324123,10
124.5862,-16.59425,61.46582,10
124.60775,-16.5918,61.499577,10
124.09582,-16.57283,61.60211,10
124.16693,-16.56481,59.832058,10
125.18772,-16.55045,67.701584,10
125.29862,-16.49952,67.91334,10
125.41275,-16.48625,69.76307,10
125.43104,-16.48412,65.219826,10
125.42574,-16.48111,69.744514,10
125.48134,-16.47421,68.73809,10
125.48518,-16.46541,64.35863,6
125.47977,-16.462,67.036316,10
123.76749,-16.39933,60.869453,10
123.75937,-16.39379,60.692436,10
123.69926,-16.31535,60.66272,10
124.55736,-16.31145,60.927288,10
123.69401,-16.31091,62.004814,10
126.37029,-16.29297,62.117977,6
124.47992,-16.28206,57.941067,10
124.61146,-16.27983,60.778957,10
124.61835,-16.27807,60.9174,10
125.57106,-16.26782,62.907722,10
125.55662,-16.26222,63.92634,10
124.8927,-16.26029,61.74436,10
125.57453,-16.26015,60.77273,10
124.88553,-16.25998,63.333973,10
125.55125,-16.25799,63.161648,10
124.90562,-16.25755,62.636425,10
125.56907,-16.2558,60.993298,10
126.29376,-16.24501,64.1348,6
136.89963,-16.22611,61.089336,10
135.95845,-16.22466,61.07043,10
124.64662,-16.22285,60.989277,10
124.6684,-16.22035,60.900314,10
135.9281,-16.21864,61.424126,10
136.89745,-16.21454,67.17412,10
136.91399,-16.21164,61.381126,10
124.89835,-16.2067,63.550438,10
126.28128,-16.19027,64.26138,10
126.28577,-16.18807,63.73247,10
135.90625,-16.17799,61.172924,10
125.17174,-16.16186,60.995567,10
125.28227,-16.11129,60.86984,10
125.27708,-16.10876,60.86984,10
125.29606,-16.10644,61.4369,10
124.63626,-16.06805,62.65187,10
124.65761,-16.06554,60.36224,9
124.72031,-16.04508,61.739704,10
124.66406,-15.9741,61.42796,10
125.15368,-15.95616,61.831657,10
125.17295,-15.95393,62.032997,10
125.16793,-15.95194,61.2857,10
136.40607,-15.91813,61.244614,10
136.42145,-15.91547,67.87319,10
136.40399,-15.90692,69.09168,10
136.41257,-15.90466,67.87319,10
136.41937,-15.90424,68.006645,10
136.42799,-15.90209,62.122036,10
135.87656,-15.83507,61.134907,10
124.8172,-15.79933,59.806343,10
124.82211,-15.79899,61.218807,10
132.03923,-15.78976,71.66174,10
135.87534,-15.78647,58.578255,10
135.87341,-15.77565,64.5179,10
125.41908,-15.76727,61.365067,10
