longitude,latitude,value,LandCover
146.15395,-41.36876,62.92879,2
145.38063,-40.85064,59.836807,17
146.59254,-38.65747,64.72911,2
143.37798,-38.45676,65.34351,5
143.37169,-38.4537,62.26323,9
142.55417,-38.39184,74.56403,9
143.65767,-38.38997,64.31143,10
142.56908,-38.236,60.074993,9
142.56779,-38.23449,62.160706,9
141.05653,-37.23245,66.49712,9
141.06107,-37.23201,66.04127,9
141.05592,-37.22834,66.18657,10
141.06042,-37.22791,66.75488,8
144.76036,-37.07288,63.174614,10
144.81161,-35.85502,62.51198,12
149.7953,-35.56894,60.7313,2
146.84457,-35.00967,61.893383,12
145.94643,-34.54034,63.63896,10
148.20888,-34.44353,60.436005,12
149.48708,-33.77698,60.909416,8
138.3582,-33.74329,64.22387,12
148.23665,-33.4521,62.042896,12
145.83707,-33.29287,58.88252,10
148.95401,-33.28695,60.870354,10
147.4249,-33.21279,59.02896,10
145.46619,-33.20938,66.50064,10
146.2265,-32.97282,61.42144,9
146.22578,-32.96951,61.131363,9
148.16354,-32.61858,60.867367,10
145.67297,-31.37804,65.572685,9
146.13808,-31.04475,67.008316,9
148.56206,-29.35216,67.97784,9
138.51944,-17.6499,64.583595,10
138.52885,-17.57811,64.99955,10
138.52831,-17.57442,65.30979,10
138.52779,-17.57072,65.82991,10
138.52271,-17.56765,67.79235,10
138.52727,-17.56703,66.63553,10
138.53127,-17.56273,69.93786,10
138.52968,-17.55165,70.26571,10
138.52914,-17.54796,69.80408,10
144.19202,-16.93661,70.81671,10
144.16745,-16.93356,66.78124,10
144.15907,-16.93139,70.80871,10
144.23824,-16.92551,67.74752,10
144.13155,-16.91121,68.93496,10
144.12704,-16.90842,65.83517,10
144.21048,-16.9053,70.248276,10
144.12137,-16.89878,65.84139,10
144.13586,-16.88632,65.7421,10
144.19058,-16.85629,64.32556,10
138.72697,-16.81972,64.37828,10
138.71339,-16.81791,63.998497,10
144.91052,-16.77427,65.42201,10
144.91466,-16.77357,64.5476,10
137.68031,-16.77329,67.64966,9
144.90988,-16.77073,65.36158,10
144.91403,-16.77003,69.29841,10
137.68468,-16.76882,66.8037,9
144.91711,-16.76222,64.52734,10
144.93042,-16.75683,65.572685,10
144.92899,-16.75656,65.16763,10
137.63782,-16.75535,64.77226,6
137.94685,-16.59138,68.37503,6
137.94057,-16.58072,67.455284,6
137.94003,-16.57695,71.089516,6
137.94421,-16.57254,70.290665,6
137.94366,-16.56878,67.01425,6
137.94312,-16.56501,63.28485,6
137.94258,-16.56125,69.81286,6
137.82959,-16.51464,63.875107,6
137.82426,-16.51147,64.775734,6
137.82712,-16.51126,71.05826,6
144.96916,-16.51065,74.079605,10
135.95789,-16.19495,71.002594,10
135.95737,-16.19071,72.80178,10
135.95273,-16.18699,72.82109,10
135.94305,-16.1753,72.25174,10
135.94713,-16.17478,71.846756,10
135.93793,-16.16732,71.318634,10
135.9333,-16.1636,77.00982,10
135.93269,-16.15936,76.6695,10
135.94899,-16.15731,72.70884,10
135.92802,-16.15564,75.71106,10
135.93613,-16.15462,77.07606,10
135.94839,-16.15308,68.6796,10
135.92741,-16.1514,78.586296,10
135.94368,-16.14936,71.3151,10
135.92685,-16.14716,76.95368,10
135.94308,-16.14513,72.87839,10
135.93846,-16.1414,71.52938,10
136.85643,-16.05354,65.61627,10
136.86177,-16.05285,64.20124,10
136.83878,-16.04365,70.190216,10
135.42667,-16.04296,78.168365,10
135.43103,-16.04241,76.27165,10
135.42175,-16.03913,75.69926,10
135.41675,-16.03531,76.270645,10
135.41177,-16.03148,75.16847,10
135.41618,-16.03092,76.25137,10
135.40685,-16.02764,74.92245,10
136.64801,-16.02719,68.516136,10
136.64815,-16.0264,68.32108,10
135.40195,-16.02379,58.767067,10
135.40631,-16.02325,75.028496,10
135.40144,-16.0194,75.051605,10
135.40579,-16.01886,75.85839,10
135.39664,-16.01554,73.972374,10
135.40096,-16.01501,75.245,10
135.39622,-16.01114,75.26282,10
135.8624,-15.96162,80.32905,10
135.86891,-15.94785,70.7088,10
135.87241,-15.94309,79.57627,10
135.87592,-15.93834,80.327354,10
135.87773,-15.92086,71.57908,10
135.86008,-15.91053,68.98898,10
135.85971,-15.91014,66.78545,10
135.76859,-15.90941,77.04002,10
135.77258,-15.90889,77.99225,10
135.77669,-15.90837,75.42861,10
135.87602,-15.90813,71.84777,10
135.78079,-15.90784,74.213135,10
135.85954,-15.90629,70.46886,10
135.85918,-15.90589,70.50339,10
135.8717,-15.9047,71.505875,10
135.85849,-15.89778,68.056206,10
135.86205,-15.89301,68.53573,10
135.86153,-15.88876,73.38262,10
135.86501,-15.88399,67.83115,10
135.85983,-15.87603,71.27926,10
135.82849,-15.85842,70.65405,10
135.83255,-15.8579,67.83349,10
135.82391,-15.85467,78.269554,10
